algo,serie,taille,temps
counting,testset3,100000,0.289221287
counting,testset3,100000,0.282247305
counting,testset3,100000,0.288228512
quick,testset3,100000,0.827785969
quick,testset3,100000,0.798891306
quick,testset3,100000,0.673199177
quick,testset3,100000,0.679183483
quick,testset3,100000,1.2137537
quick,testset3,100000,1.414189577
quick,testset3,100000,0.746004343
quick,testset3,100000,0.952451944
quick,testset3,100000,1.427213669
quick,testset3,100000,0.826788425
quickSeuil,testset3,100000,0.858703375
quickSeuil,testset3,100000,0.836734772
quickSeuil,testset3,100000,0.712095499
quickSeuil,testset3,100000,0.725030422
quickSeuil,testset3,100000,1.258633375
quickSeuil,testset3,100000,1.443139791
quickSeuil,testset3,100000,0.782905817
quickSeuil,testset3,100000,1.001321793
quickSeuil,testset3,100000,1.468042374
quickSeuil,testset3,100000,0.867679119
quickRandomSeuil,testset3,100000,0.29909997
quickRandomSeuil,testset3,100000,0.297603893
quickRandomSeuil,testset3,100000,0.298900604
quickRandomSeuil,testset3,100000,0.29421308
quickRandomSeuil,testset3,100000,0.297207642
quickRandomSeuil,testset3,100000,0.297803497
quickRandomSeuil,testset3,100000,0.29630754
quickRandomSeuil,testset3,100000,0.296407175
quickRandomSeuil,testset3,100000,0.296008253
quickRandomSeuil,testset3,100000,0.294413495
counting,testset3,500000,1.429153919
counting,testset3,500000,1.418206453
counting,testset3,500000,1.45114851
counting,testset3,500000,1.468044519
counting,testset3,500000,1.482007265
counting,testset3,500000,1.467100382
counting,testset3,500000,1.444108009
counting,testset3,500000,1.446102381
counting,testset3,500000,1.469685555
counting,testset3,500000,1.438122749
quick,testset3,500000,3.67517066
quick,testset3,500000,3.800806761
quick,testset3,500000,4.611665964
quick,testset3,500000,7.280495882
quick,testset3,500000,5.100358248
quick,testset3,500000,22.9256525
quick,testset3,500000,5.882242441
quick,testset3,500000,18.25214863
quick,testset3,500000,3.606324196
quick,testset3,500000,7.882887363
quickSeuil,testset3,500000,3.837763309
quickSeuil,testset3,500000,3.975404263
quickSeuil,testset3,500000,4.73034811
quickSeuil,testset3,500000,7.437107801
quickSeuil,testset3,500000,5.315781832
quickSeuil,testset3,500000,23.72055387
quickSeuil,testset3,500000,6.12960577
quickSeuil,testset3,500000,18.79076958
